date,draw,winning_team,losing_team
2025-10-15,0,[Karlos|Alex|VojtaR|Eli|Cross|Cego|FilaH|Strudl],[HonzaTichy|Vilda|Peli|Scoot|Freny|Jazz|B|Fanda|Kacer]
2025-10-22,1,[Strudl|G|Freny|FilaSlouka|Peli|B|LukyKlimes|Vilda|Karlos|Fanda],[VojtaR|Cross|Frnda(Xnapy)|Eli|Jazz|Cego|FilaH|Otas|Matus]
2025-10-29,0,[Freny|Jezek|MP|Karlos|B|FilaH],[Otas|Pisky|Fanda|Pata|Kacer|Cross]
2025-10-29,0,[Jazz|FilaSlouka|Dejv|VojtaR|Vilda|VitVokroj],[Peli|G|Strudl|Frnda(Xnapy)|Scoot]
2025-10-29,0,[Jazz|FilaSlouka|Dejv|VojtaR|Vilda|VitVokroj],[Otas|Pisky|Fanda|Pata|Kacer|Cross]
2025-10-29,0,[Peli|G|Strudl|Frnda(Xnapy)|Scoot],[Freny|Jezek|MP|Karlos|B|FilaH]
2025-10-29,0,[Freny|Jezek|MP|Karlos|B|FilaH],[Jazz|FilaSlouka|Dejv|VojtaR|Vilda|VitVokroj]
2025-10-29,0,[Peli|G|Strudl|Frnda(Xnapy)|Scoot],[Otas|Pisky|Fanda|Pata|Kacer|Cross]
2025-10-29,0,[Jazz|FilaSlouka|Peli|Karlos|FilaH|Fanda|VitVokroj|Pata|Frnda(Xnapy)|B|Cross],[Jezek|Otas|Pisky|MP|G|Strudl|Dejv|Scoot|Kacer|Freny|VojtaR|Vilda]
2025-11-05,0,[Freny|Cego|LukyKlimes|Matus],[Cross|Jazz|VitVokroj|Svato|Strudl]
2025-11-05,0,[Pisky|Peli|Scoot|Lin],[FilaH|FilaSlouka|B|Fanda]
2025-11-05,0,[Pisky|Peli|Scoot|Lin],[Freny|Cego|LukyKlimes|Matus]
2025-11-05,0,[Cross|Jazz|VitVokroj|Svato|Strudl],[FilaH|FilaSlouka|B|Fanda]
2025-11-05,0,[Freny|Cego|LukyKlimes|Matus],[FilaH|FilaSlouka|B|Fanda]
2025-11-05,0,[Cross|Jazz|VitVokroj|Svato|Strudl],[Pisky|Peli|Scoot|Lin]
2025-11-05,0,[Freny|LukyKlimes|B|Fanda|Peli|Svato|VitVokroj|Jazz],[Cego|Matus|FilaH|FilaSlouka|Pisky|Lin|Cross|Scoot|Strudl]
2025-11-05,1,[Freny|LukyKlimes|B|Fanda|Peli|Svato|VitVokroj|Jazz],[Cego|Matus|FilaH|FilaSlouka|Pisky|Lin|Cross|Scoot|Strudl]
2025-11-05,0,[Peli|Matus|FilaH|FilaSlouka|Pisky|Lin|Cross|Fanda|Strudl],[Freny|LukyKlimes|B|Scoot|Cego|Svato|VitVokroj|Jazz]
2025-11-05,1,[Peli|Freny|FilaH|FilaSlouka|Pisky|Lin|Cross|Fanda|Strudl],[Matus|LukyKlimes|B|Scoot|Cego|Svato|VitVokroj|Jazz]








